Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
onVideoTimeUpdate,,"<Application,Lav0/m>",,,0,"<Application,Lav0/m>"
addFileToFavorites,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d2>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d2>"
onStoreEmoticonSelect,,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/t>",,,0,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/t>"
sendDataToH5,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/h5_interact/e>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/h5_interact/e>"
getAudioState,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/t>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/t>"
onCameraScanCode,,"<Application,Los0/d0>",,,0,"<Application,Los0/d0>"
onGetRecentUsageListResult,,"<Application,Lfu0/i>",,,0,"<Application,Lfu0/i>"
requestFacetoFacePayment,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/p0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/p0>"
onSplashAdButtonClicked,,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/g>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/g>"
readZipEntry,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/n1>"
openTextStateMessage,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/h9>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/h9>"
adOperateWXData,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/r0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/r0>"
executeMapVisualLayerCommand,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/t>"
publishWechatStateActivity,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/va>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/va>"
getRecentUsageList,"<Primordial,V>","<Application,Lfu0/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lfu0/h>"
includeMapPoints,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/c0>"
hideSplashScreenshot,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/fakenative/d>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/fakenative/d>"
updateShareMenuUpdatable,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/x0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/x0>"
onScrollViewScroll,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/coverview/q0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/coverview/q0>"
getWCPayOverseaPrepayRequest,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/s>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/s>"
getFinderAccount,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/p>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/p>"
buyWCCoin,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/q>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/q>"
private_openChannelsLive,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/m>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/u>"
openWebViewUseFastLoad,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bizvideochannel/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bizvideochannel/h>"
checkIsOpenAccessibility,"<Primordial,V>","<Application,Lmu0/l>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/l>"
onTingAudioNext,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/d1>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/d1>"
